epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.984,1.49437,4.25942,1.31852,0.00377,0.33333,0.00744,0.00336,1.18655,4.14307,1.0966,0.00020004,0.00020004,0.00020004
2,212.537,1.43418,3.02752,1.20452,0.00469,0.52632,0.30736,0.15144,1.19239,3.72813,1.03888,0.000412624,0.000412624,0.000412624
3,317.261,1.40245,2.24048,1.19023,0.00365,0.35088,0.04568,0.02566,1.20811,3.70486,1.09479,0.000620917,0.000620917,0.000620917
4,419.758,1.36983,1.94962,1.15646,0.00663,0.59649,0.04385,0.01997,1.28067,3.779,1.19225,0.00082492,0.00082492,0.00082492
5,521.034,1.2686,1.98423,1.14431,0.71481,0.22012,0.61361,0.40523,1.20613,3.15114,1.14767,0.00102463,0.00102463,0.00102463
6,623.516,1.28638,1.76809,1.18874,0.93504,0.75763,0.92457,0.57372,1.33489,2.60316,1.27569,0.00122005,0.00122005,0.00122005
7,723.4,1.28317,1.56777,1.13683,0.84095,0.64933,0.84762,0.51564,1.32423,2.63641,1.16714,0.00141118,0.00141118,0.00141118
8,823.144,1.29537,1.89997,1.14694,0.85605,0.7304,0.84676,0.46584,1.4664,2.40726,1.25487,0.00155148,0.00155148,0.00155148
9,922.125,1.27871,1.58328,1.12155,0.90052,0.79414,0.89806,0.52488,1.41125,2.17554,1.28913,0.00153497,0.00153497,0.00153497
10,1021.1,1.22662,1.71657,1.09727,0.85919,0.80702,0.89775,0.56054,1.293,2.0153,1.22347,0.00151847,0.00151847,0.00151847
11,1119.38,1.13966,1.45876,1.06643,0.82678,0.92982,0.92474,0.58183,1.2451,1.58366,1.11354,0.00150197,0.00150197,0.00150197
12,1222.39,1.19624,1.48991,1.10854,0.9414,0.84211,0.96324,0.6322,1.23361,1.46367,1.13825,0.00148546,0.00148546,0.00148546
13,1323.71,1.21016,1.47426,1.08933,0.85341,0.92982,0.94722,0.63871,1.17001,1.63856,1.17077,0.00146896,0.00146896,0.00146896
14,1422.31,1.27204,1.55235,1.11314,0.89249,0.89474,0.95474,0.59212,1.28934,1.5703,1.21432,0.00145246,0.00145246,0.00145246
15,1521.37,1.22583,1.46763,1.08828,0.85943,0.85965,0.87492,0.5134,1.35888,1.55212,1.24858,0.00143595,0.00143595,0.00143595
16,1617.74,1.23056,1.4004,1.13272,0.84108,0.85965,0.89815,0.55737,1.32653,1.59415,1.23965,0.00141945,0.00141945,0.00141945
17,1719.3,1.17987,1.24557,1.10893,0.89529,0.90009,0.93826,0.59118,1.23405,1.4289,1.20267,0.00140295,0.00140295,0.00140295
18,1827.65,1.18354,1.20771,1.08581,0.93332,0.87719,0.93537,0.60394,1.2537,1.44869,1.23711,0.00138644,0.00138644,0.00138644
19,1923.95,1.09242,1.20185,1.0994,0.85902,0.85528,0.88511,0.56295,1.30298,1.45774,1.28274,0.00136994,0.00136994,0.00136994
20,2029.01,1.18244,1.32673,1.13289,0.89208,0.87021,0.89871,0.60468,1.25502,1.43749,1.23086,0.00135344,0.00135344,0.00135344
21,2130.2,1.06254,1.25201,1.06512,0.84116,0.85965,0.89643,0.60516,1.2301,1.40196,1.19724,0.00133693,0.00133693,0.00133693
22,2229.76,1.16174,1.20057,1.11489,0.86188,0.89474,0.94263,0.6183,1.20914,1.33902,1.15615,0.00132043,0.00132043,0.00132043
23,2324.8,1.09489,1.17806,1.05625,0.86721,0.96491,0.97098,0.6486,1.22406,1.26178,1.16674,0.00130393,0.00130393,0.00130393
24,2423.57,1.05801,1.16221,1.06797,0.87219,0.94737,0.97049,0.65856,1.20396,1.27209,1.15863,0.00128742,0.00128742,0.00128742
25,2520.89,1.12859,1.04694,1.06384,0.94795,0.95869,0.97349,0.65947,1.17588,1.17142,1.14974,0.00127092,0.00127092,0.00127092
26,2618.15,1.137,1.1519,1.07788,0.88991,0.92982,0.95926,0.6387,1.18917,1.18658,1.16232,0.00125442,0.00125442,0.00125442
27,2721.02,1.13376,1.11366,1.07929,0.83227,0.95766,0.9386,0.65307,1.12087,1.12659,1.12304,0.00123791,0.00123791,0.00123791
